Name,Longtude,Latitude,JUICE_SHOPS,COFFEE_SHOPS,GYMS,CAFE,clusters
Gostops Hostel,77.238785,28.640918,20,20,20,20,2
Hotel Zostel,77.217455,28.645713,20,20,20,20,2
The Madpackers Hostel,77.214013,28.542779,20,20,20,20,3
Backpacker Panda Delhi,77.210166,28.640644,20,20,20,20,2
Bed and Chai Guest House,77.241984,28.548401,20,20,20,20,3
Backpacker's Hostel Paharganj | Delhi,77.215905,28.645973,20,20,20,20,2
Travellers Guesthouse,77.216905,28.641487,20,20,20,20,2
Hotel Woodland Deluxe,77.212259,28.646828,20,20,20,20,2
Hotel S B Inn,77.215224,28.641758,20,20,20,20,2
Namaskar,77.21444,28.641825,20,20,20,20,2
Gold Inn,77.214796,28.640638,20,20,20,20,2
Santana Gesthouse サンタナゲストハウス,77.213357,28.641659,20,20,20,20,2
Rak International Hotel,77.21347,28.641521,20,20,20,20,2
Hotel Topaz,77.210931,28.644531,20,20,20,20,2
Comfort Stay Hostel,77.211118,28.640821,20,20,20,20,2
Satyam Guesthouse,77.210917,28.640806,20,20,20,20,2
Himalayan Hostel and BandB,77.209504,28.640636,20,20,20,20,2
Anoop Hotel,77.212219,28.641113,20,20,20,20,2
UDS Villa,77.212889,28.628465,20,20,20,20,2
YWCA Blue Triangle Family Hostel,77.208631,28.626031,20,20,20,20,2
"South Indian Cafe, PG Men's Hostel, DU",77.211434,28.68565,20,20,20,20,0
PG Men's Hostel,77.216019,28.690308,20,20,20,20,0
PG International Hotel,77.214036,28.643594,20,20,20,20,2
Pg Foils Ltd.,77.218642,28.632539,20,20,20,20,2
Kapoor PG,77.203669,28.551131,20,20,20,20,3
Boys PG,77.202976,28.682124,20,20,20,20,0
Boys PG,77.279972,28.632631,20,20,20,20,5
PG - temporary shelter @sec 26,77.332891,28.580718,20,20,20,20,1
Shree Durga PG For Girls,77.280811,28.631567,20,20,20,20,5
"Saraswati Girls Hostel, PG For GIRLS In East Delhi, Laxmi Nagar",77.284614,28.635866,20,20,20,20,5
Welcome PG,77.184083,28.65782,20,20,20,20,2
Guru Ji PG,77.204187,28.691342,20,20,20,20,0
Simran Girls PG,77.203718,28.692667,20,20,20,20,0
Omega Green PG Hostel,77.337019,28.554526,20,20,20,20,1
PG Infotrack,77.215245,28.712233,20,20,20,20,0
Indu PG,77.070747,28.585281,20,20,20,20,4
PG for Girl's,77.220888,28.569991,20,20,20,20,3
Pg Associates Pvt. Ltd.,77.139457,28.651717,20,20,20,20,4
PG Plywood,77.134436,28.638968,20,20,20,20,4
PG Boot House,77.138028,28.683007,20,20,20,20,4
